Sales Person,Country,Product,Date,Month, Amount ,Boxes Shipped
Ches Bonnell,New Zealand,Peanut Butter Cubes,03/Apr/2022,April,$889 ,273
Kelci Walkden,Canada,Milk Bars,07/Jul/2022,July,"$16,016 ",28
Dennison Crosswaite,Canada,Choco Coated Almonds,13/Jan/2022,January,"$10,479 ",118
Curtice Advani,Australia,Almond Choco,13/Jul/2022,July,"$2,912 ",75
Madelene Upcott,Australia,85% Dark Bars,16/Jun/2022,June,"$1,575 ",329
Gigi Bohling,UK,50% Dark Bites,18/Jul/2022,July,"$8,197 ",69
Ches Bonnell,UK,Manuka Honey Choco,30/May/2022,May,"$4,221 ",395
Gigi Bohling,UK,70% Dark Bites,21/Jun/2022,June,$840 ,81
Jehu Rudeforth,Australia,Peanut Butter Cubes,24/Jun/2022,June,"$5,691 ",38
Marney O'Breen,India,Eclairs,13/Jan/2022,January,"$3,472 ",96
Curtice Advani,Canada,Fruit & Nut Bars,04/Apr/2022,April,"$4,193 ",195
Kaine Padly,UK,Smooth Sliky Salty,06/Aug/2022,August,"$9,016 ",554
Karlen McCaffrey,Canada,Spicy Special Slims,08/Feb/2022,February,"$6,328 ",47
Kelci Walkden,USA,Organic Choco Syrup,21/Jul/2022,July,"$9,870 ",152
Curtice Advani,India,Spicy Special Slims,20/Jun/2022,June,$161 ,134
Roddy Speechley,India,After Nines,22/Jun/2022,June,"$2,576 ",112
Camilla Castle,Australia,Caramel Stuffed Bars,05/Feb/2022,February,"$3,178 ",16
Curtice Advani,Australia,99% Dark & Pure,01/Jul/2022,July,"$4,676 ",84
Mallorie Waber,UK,50% Dark Bites,21/Feb/2022,February,"$5,502 ",99
Ches Bonnell,Canada,Baker's Choco Chips,21/Mar/2022,March,"$7,462 ",371
Van Tuxwell,UK,Drinking Coco,04/Apr/2022,April,"$5,803 ",136
Gunar Cockshoot,Canada,Fruit & Nut Bars,24/Mar/2022,March,"$13,888 ",203
Gunar Cockshoot,New Zealand,Spicy Special Slims,28/Jun/2022,June,"$6,867 ",183
Gunar Cockshoot,Australia,Drinking Coco,14/Jan/2022,January,"$2,317 ",195
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,02/Jul/2022,July,"$1,218 ",135
Dennison Crosswaite,New Zealand,Drinking Coco,01/Nov/2022,November,"$4,109 ",197
Jehu Rudeforth,India,99% Dark & Pure,25/Feb/2022,February,"$1,953 ",242
Dotty Strutley,Australia,Mint Chip Choco,08/Jan/2022,January,"$6,790 ",25
Roddy Speechley,Australia,Mint Chip Choco,05/May/2022,May,"$6,797 ",252
Madelene Upcott,New Zealand,Raspberry Choco,18/May/2022,May,"$9,226 ",415
Dotty Strutley,New Zealand,Choco Coated Almonds,01/Apr/2022,April,"$5,733 ",348
Roddy Speechley,New Zealand,50% Dark Bites,05/Sep/2022,September,"$4,312 ",211
Rafaelita Blaksland,India,Smooth Sliky Salty,05/Jun/2022,June,"$1,638 ",81
Husein Augar,UK,White Choc,13/Jan/2022,January,"$10,815 ",145
Roddy Speechley,Australia,Almond Choco,24/Jun/2022,June,"$4,466 ",74
Van Tuxwell,USA,Caramel Stuffed Bars,14/Feb/2022,February,$987 ,21
Camilla Castle,Australia,99% Dark & Pure,18/Jan/2022,January,"$4,669 ",101
Kaine Padly,India,Milk Bars,05/Feb/2022,February,"$2,905 ",91
Ches Bonnell,Australia,Smooth Sliky Salty,16/May/2022,May,"$7,490 ",54
Mallorie Waber,USA,Almond Choco,28/Jan/2022,January,"$6,986 ",368
Kaine Padly,Canada,99% Dark & Pure,24/Jun/2022,June,"$1,288 ",409
Oby Sorrel,UK,After Nines,18/Jul/2022,July,"$2,345 ",104
Gunar Cockshoot,UK,Eclairs,13/Apr/2022,April,"$3,619 ",164
Dotty Strutley,USA,Caramel Stuffed Bars,15/Apr/2022,April,"$16,982 ",76
Jan Morforth,India,Peanut Butter Cubes,01/Apr/2022,April,"$8,092 ",178
Husein Augar,Australia,Eclairs,07/Apr/2022,April,"$6,993 ",31
Beverie Moffet,USA,Smooth Sliky Salty,24/Mar/2022,March,"$2,317 ",352
Camilla Castle,Australia,Manuka Honey Choco,17/Mar/2022,March,$637 ,169
Oby Sorrel,Australia,Almond Choco,15/Feb/2022,February,"$6,034 ",223
Jan Morforth,USA,Orange Choco,29/Jun/2022,June,$980 ,146
Gigi Bohling,USA,Fruit & Nut Bars,24/May/2022,May,"$2,821 ",112
Mallorie Waber,UK,Milk Bars,01/Oct/2022,October,"$3,563 ",284
Curtice Advani,USA,Raspberry Choco,15/Mar/2022,March,"$2,996 ",139
Marney O'Breen,Canada,Milk Bars,02/Aug/2022,August,"$2,436 ",309
Brien Boise,India,Caramel Stuffed Bars,25/Feb/2022,February,"$1,540 ",100
Gunar Cockshoot,USA,Eclairs,05/Mar/2022,March,"$6,916 ",42
Roddy Speechley,USA,Fruit & Nut Bars,14/Jun/2022,June,"$5,509 ",24
Gunar Cockshoot,India,50% Dark Bites,08/Sep/2022,September,"$12,992 ",83
Wilone O'Kielt,New Zealand,Manuka Honey Choco,07/Nov/2022,November,"$3,724 ",234
Kaine Padly,UK,Manuka Honey Choco,14/Jan/2022,January,"$7,133 ",118
Van Tuxwell,Canada,Manuka Honey Choco,24/Feb/2022,February,"$8,617 ",46
Wilone O'Kielt,New Zealand,Almond Choco,15/Mar/2022,March,"$9,198 ",144
Oby Sorrel,New Zealand,Baker's Choco Chips,25/Apr/2022,April,"$11,823 ",47
Dennison Crosswaite,Australia,Organic Choco Syrup,05/Oct/2022,October,"$5,775 ",41
Marney O'Breen,Australia,Spicy Special Slims,23/Jun/2022,June,"$13,125 ",275
Beverie Moffet,Canada,Smooth Sliky Salty,28/Feb/2022,February,"$14,287 ",370
Brien Boise,USA,Organic Choco Syrup,25/May/2022,May,"$16,233 ",138
Roddy Speechley,New Zealand,Baker's Choco Chips,22/Feb/2022,February,"$5,313 ",215
Van Tuxwell,UK,85% Dark Bars,07/Nov/2022,November,"$3,577 ",134
Marney O'Breen,Canada,Spicy Special Slims,01/Mar/2022,March,"$3,528 ",336
Rafaelita Blaksland,New Zealand,70% Dark Bites,24/Aug/2022,August,$679 ,280
Beverie Moffet,USA,50% Dark Bites,28/Jul/2022,July,"$2,450 ",352
Brien Boise,USA,Mint Chip Choco,25/May/2022,May,"$10,577 ",150
Karlen McCaffrey,New Zealand,Eclairs,05/Jun/2022,June,"$2,597 ",177
Barr Faughny,India,Drinking Coco,28/Jan/2022,January,"$2,219 ",142
Marney O'Breen,UK,Orange Choco,06/Jun/2022,June,"$11,319 ",12
Brien Boise,New Zealand,Baker's Choco Chips,07/Dec/2022,December,"$5,978 ",24
Ches Bonnell,Canada,Spicy Special Slims,08/May/2022,May,"$5,327 ",183
Brien Boise,USA,Orange Choco,28/Jan/2022,January,"$6,020 ",147
Kaine Padly,India,Spicy Special Slims,31/Aug/2022,August,"$5,614 ",137
Mallorie Waber,USA,50% Dark Bites,19/Apr/2022,April,"$1,736 ",13
Mallorie Waber,UK,Mint Chip Choco,29/Jun/2022,June,"$6,384 ",2
Beverie Moffet,India,Choco Coated Almonds,24/Feb/2022,February,"$3,577 ",261
Madelene Upcott,UK,Smooth Sliky Salty,03/Apr/2022,April,"$14,539 ",84
Gigi Bohling,India,Eclairs,21/Jun/2022,June,"$3,493 ",68
Rafaelita Blaksland,Australia,Organic Choco Syrup,26/Jan/2022,January,$994 ,105
Oby Sorrel,New Zealand,White Choc,06/Oct/2022,October,"$4,361 ",40
Andria Kimpton,UK,Drinking Coco,23/May/2022,May,"$1,554 ",65
Kelci Walkden,India,Milk Bars,15/Apr/2022,April,$966 ,107
Karlen McCaffrey,New Zealand,Caramel Stuffed Bars,31/Jan/2022,January,"$5,334 ",227
Andria Kimpton,New Zealand,Organic Choco Syrup,03/Apr/2022,April,"$4,935 ",39
Barr Faughny,New Zealand,After Nines,19/Apr/2022,April,"$10,024 ",84
Beverie Moffet,UK,Almond Choco,16/May/2022,May,"$2,506 ",100
Oby Sorrel,Australia,Raspberry Choco,17/Feb/2022,February,"$1,043 ",120
Dennison Crosswaite,USA,Raspberry Choco,18/Jan/2022,January,"$6,524 ",257
Roddy Speechley,Canada,Orange Choco,02/Sep/2022,September,"$8,148 ",85
Mallorie Waber,Canada,Orange Choco,23/Mar/2022,March,"$3,577 ",178
Madelene Upcott,New Zealand,Caramel Stuffed Bars,02/Jan/2022,January,"$3,374 ",151
Mallorie Waber,India,Drinking Coco,03/Jul/2022,July,"$3,948 ",142
Ches Bonnell,UK,White Choc,01/Mar/2022,March,"$3,269 ",226
Ches Bonnell,USA,White Choc,02/Nov/2022,November,"$5,271 ",341
Dennison Crosswaite,New Zealand,Orange Choco,16/Mar/2022,March,"$4,571 ",140
Dotty Strutley,India,White Choc,15/Aug/2022,August,"$12,327 ",330
Gigi Bohling,India,Manuka Honey Choco,05/Dec/2022,December,"$4,935 ",73
Van Tuxwell,India,Spicy Special Slims,04/Nov/2022,November,"$6,167 ",4
Jan Morforth,New Zealand,Mint Chip Choco,30/Jun/2022,June,"$18,340 ",285
Dotty Strutley,New Zealand,White Choc,15/Jun/2022,June,"$7,014 ",60
Rafaelita Blaksland,Canada,Caramel Stuffed Bars,08/Jan/2022,January,"$7,119 ",101
Kaine Padly,USA,Milk Bars,15/Jun/2022,June,"$15,491 ",58
Brien Boise,India,After Nines,16/Jun/2022,June,"$5,747 ",45
Oby Sorrel,New Zealand,Raspberry Choco,13/May/2022,May,"$4,550 ",281
Dennison Crosswaite,USA,Drinking Coco,05/Oct/2022,October,"$2,191 ",138
Oby Sorrel,India,Eclairs,25/Aug/2022,August,"$5,663 ",322
Ches Bonnell,New Zealand,Organic Choco Syrup,15/Jul/2022,July,"$7,623 ",85
Gigi Bohling,UK,Baker's Choco Chips,16/May/2022,May,"$9,023 ",409
Jan Morforth,Australia,50% Dark Bites,14/Jun/2022,June,"$3,402 ",182
Beverie Moffet,Australia,Smooth Sliky Salty,25/Jan/2022,January,"$10,507 ",467
Ches Bonnell,USA,Organic Choco Syrup,28/Jul/2022,July,"$7,721 ",14
Brien Boise,Canada,Mint Chip Choco,28/Jan/2022,January,"$5,033 ",178
Kaine Padly,UK,Orange Choco,29/Jun/2022,June,"$1,960 ",191
Karlen McCaffrey,Australia,70% Dark Bites,24/Jun/2022,June,$238 ,317
Gunar Cockshoot,Canada,Mint Chip Choco,07/Jan/2022,January,"$7,756 ",410
Roddy Speechley,USA,Peanut Butter Cubes,25/Feb/2022,February,"$1,736 ",137
Curtice Advani,Canada,Smooth Sliky Salty,08/Jan/2022,January,"$2,660 ",12
Oby Sorrel,Australia,Milk Bars,21/Jun/2022,June,"$7,672 ",254
Camilla Castle,New Zealand,Spicy Special Slims,25/Jan/2022,January,"$11,564 ",24
Gigi Bohling,UK,Milk Bars,17/May/2022,May,"$1,365 ",232
Andria Kimpton,Australia,85% Dark Bars,23/Aug/2022,August,"$4,186 ",233
Camilla Castle,Australia,Smooth Sliky Salty,03/Mar/2022,March,"$7,406 ",118
Roddy Speechley,India,Caramel Stuffed Bars,30/May/2022,May,"$8,911 ",543
Karlen McCaffrey,USA,Drinking Coco,29/Jun/2022,June,$112 ,223
Andria Kimpton,Canada,Organic Choco Syrup,01/Apr/2022,April,"$8,204 ",204
Jehu Rudeforth,Australia,Drinking Coco,14/Jan/2022,January,"$2,611 ",65
Karlen McCaffrey,USA,Mint Chip Choco,15/Feb/2022,February,"$15,652 ",53
Curtice Advani,New Zealand,Spicy Special Slims,01/Oct/2022,October,"$4,074 ",469
Madelene Upcott,USA,White Choc,05/Apr/2022,April,"$12,250 ",213
Andria Kimpton,USA,Spicy Special Slims,23/May/2022,May,"$2,366 ",5
Barr Faughny,New Zealand,Fruit & Nut Bars,26/Apr/2022,April,"$1,687 ",147
Oby Sorrel,Canada,Organic Choco Syrup,07/May/2022,May,"$1,232 ",74
Madelene Upcott,UK,Organic Choco Syrup,21/Jul/2022,July,"$6,965 ",163
Dotty Strutley,USA,Mint Chip Choco,21/Feb/2022,February,"$5,292 ",248
Kelci Walkden,USA,Orange Choco,02/Mar/2022,March,"$1,379 ",138
Gigi Bohling,Australia,Caramel Stuffed Bars,07/Aug/2022,August,"$8,001 ",151
Mallorie Waber,India,50% Dark Bites,31/May/2022,May,$588 ,139
Van Tuxwell,New Zealand,Mint Chip Choco,27/Jun/2022,June,"$4,046 ",103
Van Tuxwell,India,50% Dark Bites,13/May/2022,May,"$5,103 ",129
Van Tuxwell,USA,Manuka Honey Choco,31/May/2022,May,"$2,317 ",102
Wilone O'Kielt,USA,Orange Choco,28/Feb/2022,February,"$7,042 ",37
Barr Faughny,New Zealand,Eclairs,28/Mar/2022,March,"$6,713 ",31
Gigi Bohling,USA,After Nines,14/Jan/2022,January,"$1,848 ",227
Barr Faughny,New Zealand,Mint Chip Choco,21/Feb/2022,February,"$6,440 ",145
Dennison Crosswaite,Canada,85% Dark Bars,08/Jan/2022,January,"$10,885 ",90
Beverie Moffet,New Zealand,Smooth Sliky Salty,19/May/2022,May,"$2,387 ",59
Husein Augar,USA,White Choc,13/Jul/2022,July,"$2,030 ",60
Andria Kimpton,Australia,Peanut Butter Cubes,20/Apr/2022,April,"$6,678 ",148
Dennison Crosswaite,India,85% Dark Bars,30/Jun/2022,June,"$4,515 ",22
Curtice Advani,UK,50% Dark Bites,03/Aug/2022,August,"$3,374 ",142
Gunar Cockshoot,USA,Fruit & Nut Bars,03/Sep/2022,September,"$5,852 ",93
Oby Sorrel,Canada,Raspberry Choco,16/Jun/2022,June,"$1,750 ",208
Gigi Bohling,UK,Drinking Coco,30/Jun/2022,June,"$5,782 ",42
Kelci Walkden,India,Mint Chip Choco,28/Jul/2022,July,"$2,870 ",120
Karlen McCaffrey,Canada,Peanut Butter Cubes,08/Dec/2022,December,"$3,094 ",159
Barr Faughny,UK,Mint Chip Choco,07/Jul/2022,July,"$3,724 ",316
Barr Faughny,USA,85% Dark Bars,25/Aug/2022,August,"$12,761 ",47
Husein Augar,Canada,Eclairs,17/Jan/2022,January,"$3,696 ",233
Jan Morforth,Australia,70% Dark Bites,03/Apr/2022,April,"$5,222 ",384
Marney O'Breen,New Zealand,Fruit & Nut Bars,25/Aug/2022,August,"$8,939 ",4
Ches Bonnell,UK,Peanut Butter Cubes,15/Apr/2022,April,"$2,156 ",260
Kaine Padly,USA,Organic Choco Syrup,03/Nov/2022,November,"$2,380 ",22
Camilla Castle,USA,Raspberry Choco,20/May/2022,May,"$3,339 ",18
Brien Boise,New Zealand,Manuka Honey Choco,14/Jun/2022,June,"$14,980 ",42
Jehu Rudeforth,New Zealand,After Nines,14/Apr/2022,April,"$1,512 ",73
Jehu Rudeforth,USA,Smooth Sliky Salty,07/Jul/2022,July,"$6,657 ",154
Madelene Upcott,India,Mint Chip Choco,24/Aug/2022,August,"$3,836 ",71
Jehu Rudeforth,India,Eclairs,24/Feb/2022,February,"$8,771 ",127
Karlen McCaffrey,Canada,Raspberry Choco,05/Sep/2022,September,$651 ,224
Kaine Padly,Australia,70% Dark Bites,02/Aug/2022,August,"$6,706 ",223
Roddy Speechley,UK,70% Dark Bites,24/Mar/2022,March,"$1,421 ",284
Rafaelita Blaksland,USA,Drinking Coco,20/Jun/2022,June,"$8,526 ",73
Mallorie Waber,Canada,Manuka Honey Choco,03/Jul/2022,July,"$1,435 ",112
Kaine Padly,Australia,Fruit & Nut Bars,20/Jun/2022,June,"$7,434 ",85
Oby Sorrel,New Zealand,Organic Choco Syrup,17/Feb/2022,February,"$15,316 ",270
Madelene Upcott,UK,99% Dark & Pure,26/Jan/2022,January,"$10,479 ",45
Madelene Upcott,Australia,Mint Chip Choco,05/Feb/2022,February,"$2,751 ",153
Curtice Advani,Canada,99% Dark & Pure,07/Jul/2022,July,"$12,586 ",7
Rafaelita Blaksland,Australia,Baker's Choco Chips,22/Aug/2022,August,"$2,786 ",51
Karlen McCaffrey,Australia,After Nines,08/Nov/2022,November,"$2,303 ",67
Marney O'Breen,UK,99% Dark & Pure,13/Jan/2022,January,"$8,113 ",194
Gunar Cockshoot,Australia,50% Dark Bites,03/Feb/2022,February,"$12,271 ",116
Marney O'Breen,Australia,Choco Coated Almonds,27/Jul/2022,July,"$11,298 ",41
Kelci Walkden,New Zealand,Drinking Coco,03/Oct/2022,October,"$15,855 ",111
Beverie Moffet,USA,85% Dark Bars,23/Aug/2022,August,"$12,404 ",334
Roddy Speechley,USA,Eclairs,25/Apr/2022,April,"$3,990 ",155
Dennison Crosswaite,UK,Milk Bars,03/Jul/2022,July,"$10,808 ",407
Wilone O'Kielt,UK,Organic Choco Syrup,07/Dec/2022,December,"$4,858 ",52
Madelene Upcott,USA,Orange Choco,16/May/2022,May,"$7,742 ",138
Gunar Cockshoot,India,Smooth Sliky Salty,03/Feb/2022,February,"$3,752 ",70
Marney O'Breen,New Zealand,85% Dark Bars,30/May/2022,May,"$1,218 ",149
Marney O'Breen,UK,Manuka Honey Choco,06/Oct/2022,October,"$10,983 ",179
Brien Boise,USA,99% Dark & Pure,25/Jul/2022,July,"$6,769 ",353
Beverie Moffet,New Zealand,Mint Chip Choco,06/Sep/2022,September,"$4,361 ",97
Dennison Crosswaite,USA,Milk Bars,05/Dec/2022,December,$777 ,60
Gunar Cockshoot,USA,Drinking Coco,05/Sep/2022,September,"$3,843 ",5
Brien Boise,Canada,Manuka Honey Choco,08/Sep/2022,September,"$6,930 ",182
Van Tuxwell,India,Choco Coated Almonds,13/Apr/2022,April,"$5,733 ",114
Andria Kimpton,USA,Caramel Stuffed Bars,05/Feb/2022,February,"$8,393 ",46
Dotty Strutley,USA,99% Dark & Pure,08/Sep/2022,September,"$3,822 ",320
Camilla Castle,Australia,Raspberry Choco,23/Aug/2022,August,"$6,342 ",178
Gunar Cockshoot,India,Spicy Special Slims,13/May/2022,May,"$6,510 ",170
Karlen McCaffrey,USA,Manuka Honey Choco,02/Jan/2022,January,"$10,171 ",67
Camilla Castle,USA,50% Dark Bites,23/Jun/2022,June,"$5,908 ",301
Madelene Upcott,UK,Choco Coated Almonds,24/May/2022,May,"$10,164 ",134
Jan Morforth,Canada,Mint Chip Choco,04/Jan/2022,January,"$1,064 ",211
Camilla Castle,Canada,70% Dark Bites,27/Jul/2022,July,"$9,716 ",151
Ches Bonnell,India,Peanut Butter Cubes,27/Jan/2022,January,"$22,050 ",208
Jan Morforth,India,Choco Coated Almonds,08/Dec/2022,December,"$2,541 ",134
Gigi Bohling,Canada,Almond Choco,02/Jan/2022,January,"$9,989 ",49
Rafaelita Blaksland,India,After Nines,03/Feb/2022,February,"$4,739 ",204
Kelci Walkden,Australia,99% Dark & Pure,30/Jun/2022,June,"$3,185 ",34
Dotty Strutley,Australia,Spicy Special Slims,17/Jan/2022,January,"$8,225 ",91
Brien Boise,USA,Milk Bars,07/Jul/2022,July,"$14,301 ",130
Mallorie Waber,New Zealand,Mint Chip Choco,31/Jan/2022,January,"$1,316 ",107
Beverie Moffet,UK,99% Dark & Pure,08/Oct/2022,October,"$3,486 ",121
Beverie Moffet,USA,Peanut Butter Cubes,18/Aug/2022,August,"$13,930 ",339
Brien Boise,New Zealand,White Choc,15/Jun/2022,June,"$5,509 ",321
Marney O'Breen,USA,Baker's Choco Chips,26/Jan/2022,January,"$8,470 ",9
Kelci Walkden,USA,Spicy Special Slims,29/Apr/2022,April,$77 ,69
Mallorie Waber,Canada,White Choc,03/Mar/2022,March,"$3,381 ",72
Kaine Padly,Australia,Almond Choco,22/Feb/2022,February,"$4,102 ",392
Oby Sorrel,USA,Smooth Sliky Salty,03/Apr/2022,April,"$3,577 ",158
Dennison Crosswaite,India,Smooth Sliky Salty,07/Jul/2022,July,"$2,975 ",9
Camilla Castle,New Zealand,Caramel Stuffed Bars,17/Jun/2022,June,"$4,137 ",347
Jan Morforth,Canada,Caramel Stuffed Bars,08/Feb/2022,February,"$9,541 ",114
Oby Sorrel,USA,Baker's Choco Chips,08/Dec/2022,December,"$8,001 ",120
Madelene Upcott,New Zealand,Peanut Butter Cubes,28/Jan/2022,January,"$5,152 ",333
Kelci Walkden,Australia,Orange Choco,29/Apr/2022,April,"$11,116 ",432
Marney O'Breen,Australia,Manuka Honey Choco,04/May/2022,May,"$13,076 ",236
Kaine Padly,Canada,Manuka Honey Choco,18/Jan/2022,January,"$10,213 ",135
Jehu Rudeforth,UK,Baker's Choco Chips,16/May/2022,May,"$2,485 ",97
Kelci Walkden,Australia,White Choc,24/Aug/2022,August,"$8,715 ",168
Curtice Advani,India,85% Dark Bars,18/Jan/2022,January,$273 ,402
Kaine Padly,USA,Eclairs,22/Aug/2022,August,"$7,623 ",10
Gunar Cockshoot,UK,99% Dark & Pure,03/Jul/2022,July,$7 ,84
Beverie Moffet,UK,Choco Coated Almonds,03/Apr/2022,April,"$3,010 ",69
Dotty Strutley,Canada,Manuka Honey Choco,22/Apr/2022,April,"$11,550 ",111
Kaine Padly,Australia,Milk Bars,06/Sep/2022,September,"$4,046 ",89
Jan Morforth,Canada,Fruit & Nut Bars,25/Jul/2022,July,"$8,904 ",199
Jan Morforth,India,Smooth Sliky Salty,08/Mar/2022,March,"$11,298 ",89
Rafaelita Blaksland,Australia,Manuka Honey Choco,08/Mar/2022,March,"$4,396 ",131
Jehu Rudeforth,UK,Milk Bars,05/Mar/2022,March,"$12,068 ",227
Husein Augar,Canada,After Nines,19/Jan/2022,January,"$9,772 ",301
Roddy Speechley,USA,50% Dark Bites,02/Nov/2022,November,"$10,458 ",316
Van Tuxwell,India,Almond Choco,14/Jun/2022,June,"$6,426 ",390
Kelci Walkden,USA,50% Dark Bites,23/Mar/2022,March,"$6,188 ",223
Madelene Upcott,Canada,85% Dark Bars,17/Feb/2022,February,"$7,504 ",101
Dennison Crosswaite,Canada,Smooth Sliky Salty,17/Mar/2022,March,"$1,750 ",479
Mallorie Waber,Australia,Spicy Special Slims,29/Jun/2022,June,"$5,439 ",287
Ches Bonnell,Canada,Choco Coated Almonds,24/Aug/2022,August,"$15,547 ",269
Gigi Bohling,Canada,Spicy Special Slims,07/Apr/2022,April,"$11,956 ",277
Roddy Speechley,New Zealand,Almond Choco,28/Mar/2022,March,"$2,723 ",67
Curtice Advani,India,Smooth Sliky Salty,19/Apr/2022,April,"$19,327 ",135
Ches Bonnell,New Zealand,Mint Chip Choco,18/Jan/2022,January,"$9,058 ",229
Van Tuxwell,New Zealand,Fruit & Nut Bars,17/Jan/2022,January,"$2,996 ",88
Andria Kimpton,New Zealand,Mint Chip Choco,15/Feb/2022,February,"$8,848 ",211
Andria Kimpton,UK,Milk Bars,02/Nov/2022,November,"$14,336 ",293
Camilla Castle,USA,Manuka Honey Choco,21/Mar/2022,March,"$16,401 ",179
Gunar Cockshoot,New Zealand,Almond Choco,01/May/2022,May,"$5,173 ",129
Brien Boise,India,Raspberry Choco,30/May/2022,May,"$6,328 ",164
Jehu Rudeforth,USA,99% Dark & Pure,01/Apr/2022,April,"$2,534 ",219
Beverie Moffet,Australia,Fruit & Nut Bars,22/Apr/2022,April,"$1,435 ",258
Gigi Bohling,Canada,Milk Bars,02/Oct/2022,October,"$3,052 ",116
Dotty Strutley,India,Spicy Special Slims,08/Dec/2022,December,$910 ,204
Gunar Cockshoot,USA,Organic Choco Syrup,08/Oct/2022,October,"$2,331 ",321
Kelci Walkden,Australia,Raspberry Choco,06/Jul/2022,July,$679 ,56
Jehu Rudeforth,India,Baker's Choco Chips,06/Jun/2022,June,"$2,086 ",74
Karlen McCaffrey,New Zealand,Baker's Choco Chips,04/May/2022,May,"$5,012 ",189
Wilone O'Kielt,USA,50% Dark Bites,18/Apr/2022,April,"$4,501 ",131
Andria Kimpton,India,50% Dark Bites,31/Jan/2022,January,"$13,482 ",15
Madelene Upcott,USA,Baker's Choco Chips,22/Aug/2022,August,"$5,621 ",140
Jehu Rudeforth,Australia,99% Dark & Pure,25/Feb/2022,February,"$10,486 ",198
Jan Morforth,Australia,Mint Chip Choco,22/Feb/2022,February,"$17,626 ",103
Oby Sorrel,New Zealand,Milk Bars,01/Dec/2022,December,"$4,494 ",187
Brien Boise,UK,Almond Choco,25/May/2022,May,$105 ,125
Kelci Walkden,India,Smooth Sliky Salty,02/Jan/2022,January,"$2,464 ",8
Rafaelita Blaksland,UK,Eclairs,27/Apr/2022,April,"$1,379 ",70
Gigi Bohling,USA,Smooth Sliky Salty,22/Jul/2022,July,"$2,583 ",126
Curtice Advani,New Zealand,Mint Chip Choco,26/Jan/2022,January,"$3,220 ",265
Curtice Advani,USA,Mint Chip Choco,24/Aug/2022,August,"$4,802 ",296
Madelene Upcott,New Zealand,Fruit & Nut Bars,18/Jan/2022,January,"$5,677 ",21
Karlen McCaffrey,India,85% Dark Bars,30/Mar/2022,March,$945 ,83
Ches Bonnell,Australia,Caramel Stuffed Bars,17/Jan/2022,January,"$8,757 ",162
Kelci Walkden,USA,Fruit & Nut Bars,17/Feb/2022,February,"$4,816 ",145
Kelci Walkden,Canada,Peanut Butter Cubes,04/Aug/2022,August,"$7,532 ",44
Gigi Bohling,Canada,Drinking Coco,07/Jun/2022,June,"$3,549 ",82
Husein Augar,India,Fruit & Nut Bars,04/Apr/2022,April,"$4,340 ",226
Jan Morforth,New Zealand,Organic Choco Syrup,03/Feb/2022,February,"$1,799 ",207
Gigi Bohling,New Zealand,Raspberry Choco,08/Sep/2022,September,"$1,127 ",176
Dennison Crosswaite,Australia,Milk Bars,06/Sep/2022,September,"$10,038 ",286
Ches Bonnell,UK,Caramel Stuffed Bars,06/Feb/2022,February,"$2,926 ",300
Van Tuxwell,USA,Fruit & Nut Bars,07/May/2022,May,"$6,279 ",235
Andria Kimpton,Canada,Eclairs,08/Nov/2022,November,$308 ,125
Madelene Upcott,India,Choco Coated Almonds,02/Nov/2022,November,"$3,500 ",145
Kelci Walkden,New Zealand,Spicy Special Slims,08/Nov/2022,November,$658 ,65
Roddy Speechley,Australia,Drinking Coco,05/Dec/2022,December,"$12,565 ",102
Wilone O'Kielt,USA,Milk Bars,15/Jul/2022,July,"$5,012 ",93
Andria Kimpton,India,Organic Choco Syrup,18/Jan/2022,January,"$3,955 ",134
Madelene Upcott,UK,Fruit & Nut Bars,01/May/2022,May,"$8,512 ",189
Curtice Advani,Australia,50% Dark Bites,29/Jun/2022,June,$504 ,232
Brien Boise,Canada,Raspberry Choco,14/Jun/2022,June,"$2,800 ",45
Gunar Cockshoot,India,Mint Chip Choco,08/Aug/2022,August,"$4,256 ",67
